,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
409000,1237665440975355962,185.51819,29.163595,19.65567,18.94026,18.73901,18.70893,18.77633,19.63541,18.94356,18.74117,18.70276,18.79411,2.79222,0.7154102,0.201252,0.0300808,-0.06739807,b'QSO',0.02026000000000039,-0.0033000000000029672,-0.0021599999999999397,0.006169999999997344,-0.017779999999998353
271180,1237668625168138262,204.57867,17.194964,18.73737,18.13339,18.0697,17.9806,17.86048,18.73866,18.141,18.07166,17.98169,17.84084,2.670247,0.603981,0.06368828,0.08910179,0.120121,b'QSO',-0.0012900000000009015,-0.007609999999999673,-0.001960000000000406,-0.0010900000000013677,0.01963999999999899
68913,1237660670885232719,140.19006,9.3620791,18.69454,18.58641,18.69171,18.81465,18.79988,18.70824,18.58855,18.69788,18.83207,18.79784,0.7727795,0.1081314,-0.1053009,-0.1229343,0.01477242,b'QSO',-0.013700000000000045,-0.002140000000000697,-0.006170000000000897,-0.017420000000001323,0.00204000000000093
85467,1237662301359112213,207.8292,49.684799,18.39516,18.08144,17.92828,17.88451,17.49758,18.39481,18.09374,17.9876,17.95264,17.56361,0.39538,0.3137226,0.1531544,0.04377556,0.3869305,b'QSO',0.00035000000000096065,-0.012299999999999756,-0.059319999999999595,-0.06813000000000002,-0.06603000000000137
135844,1237654604790497420,163.90213,4.0559349,19.31117,18.79342,18.60509,18.5993,18.62951,19.29454,18.80434,18.62581,18.62142,18.64249,1.4783,0.5177555,0.1883259,0.005794525,-0.03021431,b'QSO',0.016629999999999256,-0.010919999999998709,-0.020720000000000738,-0.022120000000001028,-0.012979999999998881
3525,1237662246056951836,204.95137,6.8467146,18.84415,18.80948,18.59461,18.58566,18.69409,18.8523,18.82122,18.59825,18.58692,18.69915,1.398838,0.03466606,0.2148724,0.008953094,-0.1084309,b'QSO',-0.008150000000000546,-0.01173999999999964,-0.0036400000000007537,-0.0012599999999984846,-0.0050600000000002865
371862,1237664668976939071,168.53268,39.228354,20.3214,19.03726,18.74893,18.63309,18.56926,20.30898,19.05412,18.75708,18.63538,18.59186,3.015481,1.284132,0.2883377,0.1158371,0.06383324,b'QSO',0.012420000000002318,-0.016860000000001207,-0.008149999999996993,-0.0022900000000021237,-0.02260000000000062
351024,1237662662144426030,241.92958,23.874456,18.44814,18.2065,18.32688,18.22392,18.13002,18.46348,18.24126,18.39715,18.30712,18.19369,0.5293139,0.2416363,-0.1203709,0.1029568,0.09390068,b'QSO',-0.015340000000001908,-0.03476000000000212,-0.07027000000000072,-0.0832000000000015,-0.06367000000000189
362975,1237665369037996122,152.4626,28.645717,19.08837,18.8836,18.93065,18.78248,18.92228,19.12123,18.88966,18.93906,18.79025,18.92022,1.584262,0.2047634,-0.04705048,0.1481705,-0.1397991,b'QSO',-0.032859999999999445,-0.006059999999997956,-0.00841000000000136,-0.007770000000000721,0.002060000000000173
115563,1237663228538519645,322.9552,72.364859,13.8666,12.92511,12.79044,12.79507,12.95859,13.87271,12.93784,12.79128,12.8019,12.99884,0.0004606231,0.9414825,0.1346703,-0.004622459,-0.1635265,b'QSO',-0.006109999999999616,-0.012729999999999464,-0.0008400000000001739,-0.0068299999999990035,-0.04025000000000034
108652,1237667109570412892,118.10133,15.064539,17.67977,17.68857,17.92432,18.1475,18.39278,17.69858,17.72126,17.92636,18.15342,18.3914,2.680651,-0.008798599,-0.235754,-0.2231846,-0.2452755,b'QSO',-0.01880999999999844,-0.03269000000000233,-0.0020399999999973772,-0.005919999999999703,0.0013799999999974943
254562,1237651250431393883,214.99674,61.028795,19.69706,19.17913,18.32946,17.74306,17.59222,20.21224,19.86769,18.99815,18.42276,18.39256,0.2181592,0.5179329,0.8496647,0.586401,0.1508446,b'QSO',-0.5151800000000009,-0.688559999999999,-0.668689999999998,-0.6797000000000004,-0.8003399999999985
131614,1237655743487017344,236.49727,4.3182408,19.00559,18.75508,18.70418,18.47974,18.38616,19.01877,18.75484,18.7078,18.48563,18.38468,1.918669,0.2505074,0.05090141,0.2244415,0.09357262,b'QSO',-0.013179999999998415,0.00023999999999801958,-0.003619999999997958,-0.005890000000000839,0.001480000000000814
