,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
50111,1237661463307288887,246.14555,26.527709,18.21031,18.02377,17.86028,17.88792,17.84332,18.20646,18.03867,17.87631,17.89289,17.84231,0.9595406,0.1865368,0.1634846,-0.02763939,0.04460716,b'QSO',0.003849999999999909,-0.014900000000000801,-0.016030000000000655,-0.004970000000000141,0.0010099999999972908
50112,1237662641195778330,244.04809,27.05278,18.50842,17.71784,17.03465,16.61727,16.39789,19.31905,18.793,18.31276,17.8906,17.76488,0.1283892,0.7905788,0.6831837,0.4173832,0.2193775,b'QSO',-0.8106299999999997,-1.0751600000000003,-1.2781100000000016,-1.2733299999999979,-1.3669900000000013
50113,1237662619726774496,243.96542,26.951452,19.82418,19.36358,19.37482,19.23179,19.12196,19.93626,19.4523,19.51182,19.39858,19.3061,0.6625974,0.4606075,-0.01124382,0.1430321,0.1098328,b'QSO',-0.1120800000000024,-0.08872000000000213,-0.13700000000000045,-0.16678999999999888,-0.1841399999999993
50114,1237662620262727892,242.3892,28.516218,19.32073,18.1505,17.29578,16.7574,16.56961,20.60776,19.60763,18.70257,18.19798,18.06061,0.1695986,1.170231,0.8547211,0.5383778,0.1877918,b'QSO',-1.287029999999998,-1.4571299999999994,-1.4067900000000009,-1.4405800000000006,-1.4909999999999997
50115,1237662641194860726,242.16514,28.377059,19.43189,19.26777,19.18445,19.02025,19.06258,19.40979,19.28757,19.18767,19.01966,19.05145,1.533342,0.1641216,0.0833168,0.1642017,-0.04232788,b'QSO',0.022099999999998232,-0.01980000000000004,-0.003220000000002443,0.0005900000000025329,0.011130000000001417
50116,1237662620262662353,242.26406,28.663655,19.25111,19.13745,18.85619,18.76443,18.7947,19.26248,19.15058,18.85431,18.76054,18.81385,1.282305,0.1136665,0.2812538,0.09176064,-0.03026581,b'QSO',-0.011369999999999436,-0.013130000000000308,0.0018799999999998818,0.0038900000000019475,-0.01914999999999978
50117,1237662641730552020,239.91103,30.176847,19.93597,19.70367,19.67412,19.4672,19.29954,19.97587,19.71462,19.69914,19.4972,19.34456,0.8348476,0.232296,0.02954865,0.2069187,0.1676636,b'QSO',-0.03989999999999938,-0.010950000000001125,-0.025020000000001374,-0.030000000000001137,-0.04502000000000095
50118,1237662640656678969,239.17852,29.813184,17.09919,16.40476,15.86122,15.44861,15.24166,17.32603,17.04071,16.71559,16.26735,16.15367,0.08424754,0.6944332,0.54354,0.412612,0.206953,b'QSO',-0.22683999999999926,-0.6359500000000011,-0.8543699999999994,-0.81874,-0.9120100000000022
50119,1237662640656679103,239.24041,29.769478,18.93895,18.73341,18.67526,18.50545,18.50397,18.965,18.76153,18.67566,18.49234,18.50984,1.612373,0.2055378,0.05815315,0.1698055,0.00148201,b'QSO',-0.02605000000000146,-0.028120000000001255,-0.00039999999999906777,0.013110000000001065,-0.005870000000001596
50120,1237662619724611755,239.39749,29.830783,19.33012,19.16392,19.05346,19.0596,18.93887,19.32927,19.19581,19.06801,19.08396,18.97475,0.8631224,0.1662025,0.1104622,-0.006137848,0.1207237,b'QSO',0.0008499999999997954,-0.03189000000000064,-0.01454999999999984,-0.02436000000000149,-0.0358799999999988
