,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
184780,1237678596477550735,354.78899,1.983968,19.55226,19.02189,18.93261,18.94314,18.72869,19.55982,19.03826,18.93537,18.94962,18.74234,2.477255,0.5303631,0.0892849,-0.01052856,0.2144527,b'QSO',-0.007559999999998013,-0.016370000000001994,-0.0027599999999985414,-0.006479999999999819,-0.013649999999998386
209990,1237670450523275679,138.97457,16.851156,20.68862,20.21251,20.27229,20.00385,19.68597,20.75603,20.33701,20.46307,20.19415,19.84312,0.6344755,0.4761047,-0.05978203,0.2684402,0.3178825,b'QSO',-0.06740999999999886,-0.12449999999999761,-0.19077999999999662,-0.19030000000000058,-0.1571499999999979
233881,1237679008780058958,339.96,8.5403806,20.87834,20.64746,20.54488,20.082,19.94507,20.85006,20.78872,20.72114,20.24746,20.15089,1.863274,0.2308807,0.1025791,0.4628792,0.1369324,b'QSO',0.028280000000002303,-0.1412600000000026,-0.1762599999999992,-0.1654599999999995,-0.20581999999999923
257234,1237680092185559579,335.6712,15.505803,21.13264,20.18943,20.19045,20.06799,19.66606,21.21517,20.23019,20.2772,20.13581,19.7245,2.326406,0.9432068,-0.001014709,0.1224575,0.4019279,b'QSO',-0.08253000000000199,-0.0407599999999988,-0.0867500000000021,-0.06781999999999755,-0.05843999999999738
276726,1237667735060218264,220.17316,18.596194,20.83556,20.47126,20.51066,20.53392,20.16007,20.83817,20.49569,20.56722,20.62486,20.19169,0.7766764,0.3643017,-0.03940582,-0.02325249,0.3738499,b'QSO',-0.0026100000000006673,-0.02442999999999884,-0.0565599999999975,-0.09094000000000335,-0.031620000000000203
246896,1237661852546302217,195.38471,45.661026,21.21866,21.4102,21.29544,21.04683,21.26705,21.25049,21.43828,21.33594,21.07102,21.14533,1.494345,-0.1915455,0.1147633,0.2486076,-0.2202168,b'QSO',-0.03182999999999936,-0.028079999999999217,-0.040500000000001535,-0.024190000000000822,0.12171999999999983
59130,1237667210528162060,181.72265,29.284834,21.97334,21.25248,21.26216,21.39528,21.50398,21.86964,21.26577,21.31464,21.4339,21.62617,2.500957,0.7208595,-0.009681702,-0.1331253,-0.1086979,b'QSO',0.1036999999999999,-0.013290000000001356,-0.052479999999999194,-0.03862000000000165,-0.1221899999999998
217856,1237661386542154327,243.24226,38.837146,22.64409,21.80554,20.53402,19.57661,19.11848,22.87252,22.09059,20.83243,19.92788,19.47704,0.6549705,0.8385563,1.271517,0.957407,0.4581356,b'QSO',-0.22843000000000302,-0.28504999999999825,-0.29840999999999696,-0.3512699999999995,-0.3585599999999971
360678,1237662198289400128,240.777,6.3774064,19.7273,19.63992,19.53891,19.37015,19.37326,19.72278,19.64816,19.54945,19.3624,19.39064,1.475512,0.08738327,0.1010151,0.1687527,-0.003105164,b'QSO',0.004519999999999413,-0.008240000000000691,-0.010539999999998884,0.007749999999997925,-0.017380000000002838
442931,1237651273507668080,164.40314,66.658518,19.27205,19.37348,19.39917,19.33671,19.11831,19.266,19.39564,19.42543,19.36868,19.13631,2.009319,-0.101429,-0.02569389,0.06246376,0.2183971,b'QSO',0.006050000000001887,-0.022159999999999513,-0.026259999999997063,-0.031970000000001164,-0.018000000000000682
