,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
64282,1237660765917151369,142.7209,37.584535,19.88821,19.72427,19.8076,19.52323,19.60222,19.89472,19.74569,19.80517,19.52011,19.58447,1.646605,0.1639328,-0.08333015,0.2843742,-0.07898712,b'QSO',-0.0065099999999986835,-0.021419999999999106,0.0024300000000003763,0.003120000000002676,0.01774999999999949
369173,1237667447274930350,205.50217,23.412484,19.13083,18.99352,19.06307,18.93251,19.03849,19.13018,18.98965,19.07032,18.93014,19.05049,1.547991,0.1373119,-0.06955147,0.1305618,-0.1059761,b'QSO',0.0006500000000002615,0.003869999999999152,-0.0072499999999990905,0.002369999999999095,-0.012000000000000455
163955,1237662662676841483,232.54597,29.520858,23.01096,21.51768,21.28724,21.61041,21.43728,22.90446,21.55668,21.35578,21.66207,21.45888,2.976712,1.493286,0.2304401,-0.3231792,0.1731339,b'QSO',0.10650000000000048,-0.03900000000000148,-0.06853999999999871,-0.05165999999999826,-0.021599999999999397
67925,1237657775547154610,145.85212,45.691242,20.00102,19.83007,19.80558,19.64787,19.37779,19.93761,19.8325,19.80634,19.6324,19.38266,1.980175,0.1709461,0.02449608,0.1577053,0.2700863,b'QSO',0.06341000000000108,-0.0024300000000003763,-0.0007599999999996498,0.015470000000000539,-0.004870000000000374
36555,1237650371553001958,173.87274,-1.7533634,22.97497,21.77557,21.66522,21.42779,21.26222,22.95338,21.85922,21.79536,21.51612,21.31054,1.631896,1.199394,0.1103535,0.2374306,0.1655674,b'QSO',0.021589999999999776,-0.08365000000000222,-0.13013999999999726,-0.08832999999999913,-0.04832000000000036
149716,1237673710405025992,136.54436,1.3731954,19.57138,19.09266,18.9798,18.9786,19.04065,19.56742,19.10292,18.99596,18.98512,19.05316,1.597489,0.4787159,0.1128616,0.00120163,-0.06205368,b'QSO',0.00396000000000285,-0.010260000000002378,-0.016159999999999286,-0.006519999999998305,-0.012509999999998911
20281,1237654605865091181,165.73138,5.0205192,19.03134,18.91715,18.57584,18.28678,18.11927,19.33097,19.25822,19.09775,18.82751,18.66185,0.246014,0.1141891,0.3413105,0.2890606,0.1675129,b'QSO',-0.2996300000000005,-0.341070000000002,-0.5219100000000019,-0.5407299999999999,-0.542580000000001
308108,1237667447268311195,188.99435,24.828397,19.22072,19.04658,19.00907,18.87972,18.68067,19.2154,19.06237,19.05244,18.91426,18.72279,2.151091,0.1741428,0.03750801,0.1293526,0.1990509,b'QSO',0.005320000000001102,-0.015790000000002635,-0.043369999999999465,-0.03453999999999979,-0.0421200000000006
93243,1237678880500875534,39.160166,-2.1195047,21.52735,21.19063,21.13975,21.01185,20.42939,21.52501,21.19228,21.14865,21.07589,20.42124,0.624762,0.3367176,0.05087471,0.1279068,0.5824566,b'QSO',0.002339999999996678,-0.0016500000000014836,-0.008900000000000574,-0.0640400000000021,0.008150000000000546
52231,1237651252564263339,144.11513,59.667528,22.13258,21.7541,21.63898,21.68654,21.25575,22.14923,21.78189,21.65038,21.7112,21.2863,2.230466,0.3784733,0.115118,-0.04755974,0.4307938,b'QSO',-0.0166499999999985,-0.027789999999999537,-0.0113999999999983,-0.024660000000000792,-0.03055000000000163
209832,1237671260129722495,144.4587,12.464418,21.20223,19.73311,19.51516,19.50626,19.49921,21.17984,19.71115,19.52107,19.51175,19.48321,2.95112,1.46912,0.2179489,0.008907318,0.007047653,b'QSO',0.022390000000001464,0.02195999999999998,-0.005910000000000082,-0.0054899999999982185,0.01600000000000179
39317,1237658200201954056,136.33506,38.108592,22.49992,21.22064,21.20692,20.88219,20.5223,22.42479,21.24224,21.23816,20.94198,20.49367,2.235994,1.279276,0.01372719,0.3247242,0.3598938,b'QSO',0.07512999999999792,-0.021599999999999397,-0.03124000000000038,-0.059789999999999566,0.02862999999999971
273406,1237661977085018850,187.25607,8.664788,21.7528,21.42014,21.37654,21.39736,21.11243,21.74118,21.39929,21.35861,21.39267,21.0804,2.180498,0.3326645,0.04359818,-0.02082253,0.2849312,b'QSO',0.01162000000000063,0.02084999999999937,0.01792999999999978,0.004690000000000083,0.03202999999999889
426800,1237664669519315272,185.00624,40.719937,21.55005,20.64124,20.56295,20.40159,19.86877,21.53994,20.66071,20.59287,20.42628,19.89855,2.311852,0.9088135,0.07829094,0.1613617,0.5328217,b'QSO',0.010109999999997399,-0.019470000000001875,-0.029920000000000613,-0.024689999999999657,-0.029779999999998807
13224,1237652900774084610,59.736355,-5.6731566,18.21496,18.12757,18.18533,18.06194,18.24976,18.23249,18.13778,18.19037,18.06868,18.25778,1.504988,0.08739281,-0.05776596,0.123394,-0.1878223,b'QSO',-0.01752999999999716,-0.010210000000000719,-0.005040000000001044,-0.006740000000000634,-0.008020000000001914
436601,1237661353779986801,180.37941,57.846674,21.45969,21.24061,21.18333,21.07747,20.59653,21.39391,21.22397,21.1505,21.05619,20.58127,2.515757,0.2190857,0.05727768,0.105854,0.4809456,b'QSO',0.06577999999999662,0.016639999999998878,0.03283000000000058,0.021280000000000854,0.015260000000001384
17507,1237651736837686401,195.94545,2.8323224,23.87464,23.11528,22.03733,23.85249,23.13565,24.17087,23.68022,22.72604,23.63467,23.00314,4.904168,0.7593594,1.077951,-1.815161,0.7168388,b'QSO',-0.2962300000000013,-0.56494,-0.6887100000000004,0.21781999999999968,0.1325099999999999
383732,1237667915420139745,184.48523,19.908367,21.33978,20.95948,20.9566,20.73955,20.46443,21.35924,20.97532,20.99875,20.81457,20.54411,0.6914845,0.3803024,0.002880096,0.2170467,0.2751217,b'QSO',-0.0194599999999987,-0.015840000000000742,-0.042149999999999466,-0.07501999999999853,-0.07967999999999975
22547,1237651822713110690,224.51957,4.0544708,19.52999,19.0584,19.00461,18.92848,18.89778,19.51847,19.06667,18.99123,18.9221,18.90629,0.6988582,0.4715939,0.05378151,0.07613564,0.03070068,b'QSO',0.011520000000000863,-0.008269999999999555,0.013379999999997949,0.006380000000000052,-0.008509999999997575
403480,1237667735036363339,162.10166,20.793724,24.19342,21.82092,21.45919,20.8716,20.69185,24.13797,21.81476,21.47944,20.90193,20.65287,2.803309,2.372501,0.3617306,0.5875931,0.1797428,b'QSO',0.05545000000000044,0.006160000000001276,-0.020250000000000767,-0.030329999999999302,0.03897999999999868
96855,1237663784745501163,25.658029,0.62653528,23.82198,22.18825,21.41906,21.3364,21.11478,23.8352,22.23143,21.4524,21.36238,21.16663,3.705554,1.633734,0.7691936,0.08265114,0.2216282,b'QSO',-0.013220000000000454,-0.04317999999999955,-0.03333999999999904,-0.025980000000000558,-0.05185000000000173
300744,1237668298202153198,180.28866,20.136716,20.74082,20.29367,20.27411,20.34914,20.2382,20.64493,20.31893,20.29823,20.35646,20.22261,2.557612,0.4471493,0.01955795,-0.07503128,0.1109352,b'QSO',0.0958900000000007,-0.025260000000002947,-0.02411999999999992,-0.007319999999999993,0.015589999999999549
220220,1237665569825751283,238.22005,57.845261,20.43595,19.89027,19.80115,19.80227,19.72144,20.39317,19.88879,19.79383,19.82867,19.72343,0.7532061,0.5456753,0.08912086,-0.001117706,0.08082771,b'QSO',0.04277999999999693,0.001480000000000814,0.007319999999999993,-0.02639999999999887,-0.00198999999999927
434155,1237663529723560919,127.77097,54.850667,24.519,23.50324,24.67477,23.78485,19.58262,23.73408,24.00245,24.35132,23.26758,20.1566,1.344882,1.015755,-1.17153,0.8899212,4.202236,b'QSO',0.7849199999999996,-0.49920999999999793,0.3234499999999976,0.5172699999999999,-0.5739800000000024
