,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
0,1237654668663324688,153.32174,-1.1823067,18.55259,18.46902,18.1199,17.73544,17.70927,18.70239,18.6954,18.42072,18.04059,17.99132,0.2005561,0.08357239,0.3491173,0.3844547,0.02617645,b'QSO',-0.1498000000000026,-0.22637999999999892,-0.3008199999999981,-0.30515000000000114,-0.2820500000000017
1,1237648720145285290,153.31193,-0.87598273,17.73487,17.66219,17.52804,17.55192,17.15414,17.78027,17.76472,17.66581,17.71132,17.30627,0.275728,0.07268906,0.1341457,-0.02388,0.3977833,b'QSO',-0.04540000000000077,-0.10253000000000156,-0.13776999999999973,-0.15940000000000154,-0.15212999999999965
2,1237650795683184784,146.2918,-0.25947359,19.17764,19.03607,18.85442,18.81924,18.42227,19.2186,19.09856,18.93845,18.89897,18.50741,0.3253868,0.141571,0.1816483,0.03518486,0.3969707,b'QSO',-0.04095999999999833,-0.06249000000000038,-0.0840299999999985,-0.07972999999999786,-0.0851399999999991
3,1237650796219924600,145.9253,0.04879248,19.05264,19.00238,18.41749,18.22878,17.69278,19.27932,19.33803,18.88763,18.71766,18.14302,0.2884945,0.05026054,0.5848923,0.1887074,0.536005,b'QSO',-0.22667999999999822,-0.3356500000000011,-0.47014000000000067,-0.4888799999999982,-0.45024000000000086
4,1237648721753276447,147.23886,0.37375648,18.53681,18.29,18.20991,18.02177,18.04997,18.57677,18.35021,18.28428,18.11227,18.15444,0.5838438,0.2468109,0.08008385,0.1881447,-0.02820587,b'QSO',-0.03996000000000066,-0.06021000000000143,-0.07436999999999827,-0.09049999999999869,-0.10447000000000273
5,1237651800159813910,148.70752,-0.73061966,21.36853,20.10405,19.11027,18.82595,18.66359,21.35801,20.12899,19.13026,18.84719,18.67118,1.287415,1.264477,0.9937859,0.2843208,0.1623611,b'QSO',0.01051999999999964,-0.02494000000000085,-0.019989999999999952,-0.021240000000002368,-0.00759000000000043
6,1237648720143187986,148.42886,-0.86325794,18.76689,18.94327,18.63376,18.62364,18.6547,18.79337,18.9637,18.63902,18.64088,18.65238,1.301314,-0.1763744,0.3095074,0.01011658,-0.03105354,b'QSO',-0.026479999999999393,-0.02043000000000106,-0.00525999999999982,-0.01723999999999748,0.0023199999999974352
7,1237650795147231560,148.41438,-0.72075858,19.73478,19.61094,19.16607,19.1844,19.20867,19.74067,19.61679,19.15645,19.1685,19.198,1.385627,0.1238346,0.44487,-0.01832581,-0.02427483,b'QSO',-0.005890000000000839,-0.005850000000002353,0.009620000000001738,0.01589999999999847,0.010670000000001068
8,1237648720143450237,149.08388,-0.9940763,19.45206,19.14945,19.02399,18.97243,18.93467,19.4503,19.15728,19.02196,18.9683,18.92772,0.918184,0.3026123,0.1254578,0.05156708,0.03775597,b'QSO',0.001760000000000872,-0.00782999999999845,0.0020300000000013085,0.004129999999999967,0.00694999999999979
9,1237651799622942734,148.71099,-1.161625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.316,-9999.233,-9999.169,-9999.128,-9999.091,0.6575148,0.0,0.0,0.0,0.0,b'QSO',0.31600000000071304,0.23300000000017462,0.16899999999986903,0.12800000000061118,0.09100000000034925
