,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
445560,1237661362909610233,205.72965,46.493585,21.74388,21.19604,21.15229,20.70501,20.99879,22.01776,21.55866,21.54818,21.08033,21.27195,1.61398,0.5478363,0.04375267,0.4472771,-0.2937794,b'QSO',-0.27387999999999835,-0.3626199999999997,-0.39588999999999785,-0.37531999999999854,-0.27316000000000074
445561,1237661435388297649,205.68039,46.449543,22.79666,22.4735,21.25249,20.44037,19.69349,23.32619,23.02702,21.90221,21.21426,20.3931,0.6795937,0.3231678,1.221006,0.8121147,0.7468834,b'QSO',-0.5295300000000012,-0.5535199999999989,-0.6497199999999985,-0.773889999999998,-0.6996099999999998
445562,1237661435388231841,205.60378,46.447216,19.7668,19.3824,19.15061,19.12502,18.90652,19.77752,19.4126,19.16003,19.15662,18.94496,0.8923535,0.3844051,0.2317848,0.0255928,0.2184982,b'QSO',-0.010719999999999175,-0.03020000000000067,-0.009419999999998652,-0.03160000000000096,-0.03843999999999781
445563,1237661435388297286,205.6917,46.427177,19.75068,19.53182,19.47202,19.42116,19.3319,19.75862,19.55055,19.47139,19.42372,19.32599,0.8791026,0.2188663,0.05979347,0.05086708,0.0892601,b'QSO',-0.00794000000000139,-0.018730000000001468,0.0006300000000010186,-0.0025599999999990075,0.005910000000000082
445564,1237661435388297515,205.78029,46.273634,22.37062,21.66763,21.69277,21.85448,21.24391,22.30471,21.72404,21.72181,21.86616,21.24635,2.440209,0.7029896,-0.02514076,-0.1617107,0.6105709,b'QSO',0.0659099999999988,-0.05640999999999963,-0.029040000000001953,-0.011680000000001911,-0.0024399999999999977
445565,1237661362372804954,205.86151,46.099604,22.08257,21.76559,20.57437,20.16665,19.7674,22.12198,21.76824,20.60236,20.20553,19.78946,1.306517,0.3169804,1.191221,0.4077225,0.39925,b'QSO',-0.03941000000000017,-0.002649999999999153,-0.027990000000002624,-0.038879999999998915,-0.022059999999999746
445566,1237661434851492521,205.84779,45.971246,22.26754,21.36064,21.14857,21.18933,20.60165,22.25683,21.35804,21.14009,21.20004,20.5551,2.736826,0.9069042,0.2120667,-0.04075813,0.5876732,b'QSO',0.010709999999999553,0.002600000000001046,0.00847999999999871,-0.010709999999999553,0.04654999999999987
445567,1237661362909741232,206.34907,46.494521,20.06878,19.94161,19.91032,19.99938,19.92502,20.0935,19.96273,19.93927,20.02141,19.93769,3.205239,0.1271629,0.03129768,-0.08906555,0.07436562,b'QSO',-0.02471999999999852,-0.021119999999999806,-0.028950000000001808,-0.022030000000000882,-0.012669999999999959
445568,1237661150307877104,205.98055,47.259357,20.97924,20.38803,20.14997,20.17808,20.12391,20.94043,20.37909,20.12975,20.18127,20.10982,2.354929,0.5912132,0.2380524,-0.0281086,0.05417061,b'QSO',0.038810000000001565,0.00893999999999906,0.02021999999999835,-0.003190000000000026,0.014089999999999492
445569,1237658203443953947,206.01725,47.15914,21.70474,21.73611,21.46113,21.7286,21.6438,21.67555,21.76152,21.48538,21.73647,21.6138,1.222445,-0.03136635,0.2749825,-0.2674713,0.08479309,b'QSO',0.029189999999999827,-0.02541000000000082,-0.02424999999999855,-0.007870000000000488,0.029999999999997584
