objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_g1,diff_i,diff_z
1237665442051653662,192.24024,29.874585,18.58657,17.41165,17.52643,17.61432,17.65773,18.57782,17.42823,17.53545,17.61749,17.66862,0.0006090929,1.174915,-0.1147785,-0.08789063,-0.04340935,STAR,0.008750916,-0.01657677,-0.009016037,-0.003168106,-0.01089478
1237667253481897987,192.64996,29.218434,18.72023,17.79756,17.53704,17.47105,17.46883,18.71207,17.81259,17.53575,17.48568,17.47311,0.0002207553,0.9226685,0.260519,0.06599426,0.002216339,STAR,0.008161545,-0.015028,0.001291275,-0.01462555,-0.004278183
1237667254018768898,192.67902,29.598394,18.65095,17.54547,17.10813,16.88104,16.85178,18.64727,17.55306,17.09472,16.91068,16.84351,-0.0003879367,1.105484,0.4373379,0.2270889,0.02926254,STAR,0.003677368,-0.007591248,0.01341057,-0.02963638,0.008264542
1237665440978042925,192.61189,29.146206,17.82865,16.8794,17.14313,17.32526,17.48591,17.81288,16.9238,17.14951,17.32377,17.49218,-0.0003614725,0.9492455,-0.2637234,-0.1821327,-0.1606483,STAR,0.01577187,-0.04439163,-0.006381989,0.001489639,-0.006267548
1237667253481766959,192.37421,29.21347,18.82764,16.62753,15.75929,15.43831,15.2992,18.81784,16.63453,15.75159,15.42099,15.30508,-5.674256e-05,2.200106,0.8682423,0.3209829,0.1391115,STAR,0.009794235,-0.006999969,0.007704735,0.01731586,-0.005880356
1237665441514913918,192.67841,29.49721,19.51419,17.1878,16.28453,15.94445,15.78164,19.5025,17.19795,16.29759,15.94494,15.80402,-5.521891e-05,2.326391,0.9032707,0.3400784,0.1628075,STAR,0.01169395,-0.01015091,-0.01305962,-0.0004911423,-0.02237988
1237665441514782803,192.25734,29.491617,19.11278,17.04294,16.21228,15.90265,15.76055,19.13443,17.03188,16.21799,15.89333,15.76337,-0.0001693376,2.069841,0.830658,0.3096361,0.1420946,STAR,-0.02164841,0.01106071,-0.005710602,0.009311676,-0.002815247
1237665442051653801,192.30632,29.969233,20.22682,18.08375,17.24117,16.94057,16.78781,20.19518,18.07295,17.24283,16.94017,16.79185,1.474351e-05,2.14307,0.842577,0.300602,0.1527615,STAR,0.03163719,0.01080513,-0.001659393,0.0004024506,-0.004041672
1237665441514913871,192.56033,29.555567,19.23325,17.28093,16.48945,16.20797,16.07704,19.21923,17.29251,16.48966,16.20648,16.08091,5.964702e-05,1.952324,0.7914734,0.2814865,0.1309299,STAR,0.01401901,-0.01158714,-0.0002059937,0.001489639,-0.003875732
1237667254018572387,192.24135,29.707495,20.28908,19.22938,18.89635,18.75093,18.72689,20.28552,19.22523,18.89952,18.77546,18.73956,0.000152696,1.059702,0.333025,0.1454201,0.02403641,STAR,0.003555298,0.004142761,-0.003173828,-0.0245285,-0.0126667
1237667254018572394,192.24658,29.747555,19.55033,18.41936,17.97787,17.7828,17.6789,19.59363,18.41598,17.98505,17.80329,17.68741,5.211261e-05,1.130968,0.4414883,0.1950684,0.1039066,STAR,-0.04330254,0.003381729,-0.007177353,-0.02048683,-0.008514404
1237665442051653816,192.3541,29.806215,21.1651,18.66138,17.23297,16.5091,16.13297,21.15167,18.67538,17.22447,16.49998,16.13296,-4.663211e-05,2.503723,1.428406,0.7238731,0.3761215,STAR,0.01342392,-0.01400185,0.008497238,0.009117126,1.525879e-05
