,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
253381,1237673710404960691,136.39014,1.4054119,20.64056,20.4548,20.37125,20.0121,20.15794,20.64292,20.44228,20.36423,20.00842,20.14861,1.813547,0.1857624,0.0835495,0.3591461,-0.1458378,b'QSO',-0.0023599999999994736,0.012519999999998532,0.007020000000000692,0.0036799999999992394,0.009329999999998506
222232,1237651754010477086,180.38323,2.5043886,24.00546,21.43066,20.10735,19.37113,18.75551,23.81596,22.42248,21.10351,20.36444,19.75751,0.5172299,2.574808,1.323307,0.7362213,0.6156197,b'QSO',0.1894999999999989,-0.9918200000000006,-0.9961599999999997,-0.9933099999999975,-1.001999999999999
323709,1237660635987902688,136.66785,36.248887,19.33623,19.21081,19.00201,19.08231,19.05159,19.35752,19.22454,18.99242,19.08118,19.05722,1.033289,0.1254272,0.2087917,-0.08029556,0.03072357,b'QSO',-0.021290000000000475,-0.013730000000002462,0.009589999999999321,0.0011299999999998533,-0.005630000000000024
732,1237655125002158120,168.24905,4.4953874,18.80739,18.68123,18.57713,18.6432,18.56591,18.82706,18.70415,18.60151,18.67428,18.60137,0.8678845,0.1261654,0.1041012,-0.06606865,0.07728386,b'QSO',-0.019669999999997856,-0.022919999999999163,-0.024380000000000734,-0.03107999999999933,-0.03546000000000049
187189,1237656494577811860,2.41791449999999,14.349906,22.0358,21.72827,21.9168,21.8173,22.00288,22.01524,21.73771,21.92226,21.85251,21.96257,2.308524,0.3075352,-0.1885338,0.09950447,-0.1855812,b'QSO',0.02055999999999969,-0.009440000000001447,-0.005460000000002907,-0.0352099999999993,0.04031000000000162
53335,1237651250951356508,137.86516,55.53113,21.40287,20.53025,20.49219,20.37435,20.18436,21.35552,20.54467,20.51982,20.4249,20.19791,2.279577,0.8726177,0.03806305,0.1178379,0.1899967,b'QSO',0.04735000000000156,-0.01442000000000121,-0.02762999999999849,-0.050550000000001205,-0.013549999999998619
297675,1237680246273802929,350.98574,19.417521,26.07061,21.48951,20.66846,19.98216,19.5066,26.04445,21.48534,20.66442,19.95621,19.50863,2.977409,4.581108,0.8210411,0.6863041,0.4755592,b'QSO',0.026159999999997297,0.004169999999998453,0.0040399999999998215,0.025950000000001694,-0.0020300000000013085
447013,1237651250972852962,232.19545,55.507644,22.54742,21.88771,20.47741,19.6259,19.04263,23.87304,22.92302,21.64331,20.82613,20.09688,0.5351872,0.659708,1.410303,0.8515091,0.5832672,b'QSO',-1.3256200000000007,-1.0353100000000026,-1.1659000000000006,-1.2002299999999977,-1.0542499999999997
31077,1237665128018215222,215.03542,30.876156,24.87858,21.85149,21.18099,21.06262,21.06661,24.66744,21.90786,21.28005,21.14687,21.08123,2.945331,3.027088,0.6705055,0.1183624,-0.003990173,b'QSO',0.21114000000000033,-0.05637000000000114,-0.09905999999999793,-0.08425000000000082,-0.014620000000000744
195508,1237667108499030650,123.32142,16.88029,21.31865,20.79005,20.6549,20.49232,20.15442,21.29713,20.85219,20.75278,20.60608,20.20019,0.8305651,0.528595,0.135149,0.1625786,0.3379059,b'QSO',0.021520000000002426,-0.06213999999999942,-0.09787999999999997,-0.1137599999999992,-0.04577000000000098
35782,1237650369935704649,158.54004,-2.7441118,22.08143,21.61397,21.68088,21.60392,21.96203,22.05848,21.63369,21.71096,21.64593,21.99371,2.562438,0.4674606,-0.06690788,0.07696152,-0.3581085,b'QSO',0.02295000000000158,-0.01972000000000307,-0.03008000000000166,-0.04201000000000121,-0.031680000000001485
